sentence_id,1-gram_add1,1-gram_addk,1-gram_tokentype,2-gram_add1,2-gram_addk,2-gram_tokentype,3-gram_add1,3-gram_addk,3-gram_tokentype,4-gram_add1,4-gram_addk,4-gram_tokentype
17,2.332206319945376e-117,1.1292962115479328e-116,1.3923914876832292e-156,1.7432763754061133e-135,3.5823173918398296e-127,1.5613988398227996e-152,3.3132116921177153e-144,1.5015188275685536e-136,2.072288941523305e-148,2.1046079820332638e-146,5.4209919478384145e-139,2.917634162172569e-147
18,5.022764630670845e-265,4.45730984200157e-264,0.0,1.9136051621581008e-291,2.6340294355048313e-275,4.53e-321,1.6289401324621622e-304,1.713658375821909e-289,2.41141464409053e-310,4.604625397361282e-306,3.967993434907113e-291,1.2574028430650072e-306
19,1.747018665110371e-203,8.674340440147204e-203,7.186003829521755e-245,2.0310045899433488e-216,4.031811236456721e-204,2.418933621374564e-237,5.679557197858257e-226,1.6769879244141682e-214,3.9480766185289366e-230,3.5544949009861505e-228,6.154198660954837e-217,6.863139854001643e-229
20,5.942947316070269e-248,1.1371911358134574e-247,2.0727550115373483e-304,8.260242999877199e-272,3.498911492714467e-257,8.926253971638182e-297,1.6197968619992672e-282,1.5849959279249404e-268,3.253975881100452e-287,8.262602767267721e-284,6.259497911814647e-270,2.324992811068308e-284
21,5.956133580752402e-51,1.1369731976550854e-50,1.535963423906678e-64,2.3453240858269915e-58,3.064932514886549e-55,3.900187131359538e-63,8.414068613006862e-61,1.436522988990665e-57,6.8841944985251285e-62,2.8386953672789053e-61,5.885483388057791e-58,2.1292296002759758e-61
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.330250872783974e-50,1.9934005223265856e-50,1.0904386194094507e-60,1.681603636829359e-55,1.738600257027204e-52,3.2189701169490187e-59,8.700049856533568e-57,1.1007015424887076e-53,1.2478976948059698e-57,1.4518509119896013e-57,2.0063622065058843e-54,9.077393739845561e-58
24,4.737705040889048e-243,1.2430394991180992e-242,8.833163758874744e-293,1.3916927838733338e-257,2.418434540878322e-243,2.5602730522750413e-284,7.045515598911505e-269,3.0878313251889377e-255,6.32395841846465e-275,1.0992872684252751e-272,2.4524419531304047e-259,9.023801616600396e-274
25,1.4940359444405193e-67,2.1475088773748842e-67,1.0699435325719161e-76,5.544976532308401e-69,2.9090564609536163e-65,1.0859303164125782e-74,4.185442791833798e-72,2.1679819484175494e-68,7.014066868966388e-73,2.1201648213348504e-72,1.483275600942136e-68,2.1201648213348504e-72
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.5180306462065975e-243,5.038592109086065e-243,1.3617757037426138e-300,3.29042953483653e-266,1.265077091309234e-251,4.407338538613722e-292,1.8490670086327424e-277,2.3078566271002018e-263,5.520756109760434e-282,2.138530104550314e-279,1.6452132160341034e-265,4.0630408485859505e-280
28,7.745677959259399e-68,3.6693130710180526e-67,9.869457132660462e-85,6.688817031734047e-77,1.1928883687247463e-72,1.3385111837744312e-83,2.424676622565926e-79,3.172832475488513e-75,1.6703889961895236e-80,8.099647338723351e-80,1.274598905442537e-75,6.075329203759484e-80
29,1.3563247230011524e-26,2.6697269710132657e-26,9.116479421928584e-29,3.823186679274562e-27,1.210810554091228e-25,2.311458302799987e-28,1.362953879402328e-27,5.517266758445315e-26,1.022315313325158e-27,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
30,5.030355803057041e-162,2.8550920951810904e-161,1.4165527858616158e-208,8.99167496168633e-178,7.998124949375873e-167,5.018826033606706e-202,1.2022851847859435e-190,1.798829752107223e-180,1.5480885191853707e-196,2.871238757654034e-193,2.46601796082679e-183,5.691002499460447e-195
31,1.881727209170391e-47,3.8012059069827556e-47,9.35018921508538e-57,7.534430480428396e-50,7.690581716381975e-47,1.0508232794638523e-55,2.058567198231901e-52,1.843977829283088e-49,3.0829484373678575e-54,7.411739384295413e-54,6.814423619070109e-51,3.900917371586559e-54
32,6.882321586619572e-23,1.076786923600243e-22,9.268903607883695e-25,1.310720894058983e-23,2.5020269052834743e-22,3.7262855888070895e-24,6.973553523962011e-24,1.8823075090895934e-22,6.973553523962011e-24,3.487117567059882e-24,1.2551169804524686e-22,3.487117567059882e-24
33,1.7894515516645385e-292,9.605220310662918e-292,0.0,1.5261793975e-314,1.0404870831668937e-294,0.0,0.0,5e-324,0.0,0.0,0.0,0.0
34,9.28549069005646e-24,2.0544681206007416e-23,9.090002292037705e-29,3.355396682323889e-26,1.4147411711489657e-24,2.4228730499759687e-28,2.0414380932045414e-27,9.168565191979426e-26,5.841720229496973e-28,6.815435487266455e-28,3.67889686502922e-26,5.112076183140954e-28
35,3.3595332246219823e-156,2.0819109687014452e-155,1.2806204506521102e-200,3.242382540364442e-172,1.1575601132190277e-161,1.3857229185390606e-193,5.076454195649542e-184,2.136382627089305e-174,3.32336125558971e-189,3.337414336057038e-187,7.401766320376264e-178,2.1908082026604322e-188
36,3.0016500589314705e-290,2.0493330960590157e-290,0.0,1.8305936841279486e-304,1.1166382227405764e-288,0.0,2.3549260029e-312,5.1226517706609074e-297,5.3073337e-316,1.76047623066e-313,3.415080565681287e-298,6.192652779e-314
37,2.0289297335265106e-78,3.3552923551368163e-78,1.2238593982368218e-92,5.875154543810612e-85,1.4100327077628654e-80,1.680207416374931e-90,6.1831626321824e-87,1.640034112205871e-82,1.3538670464378707e-87,3.094906128692357e-87,1.0957083600610449e-82,3.094906128692357e-87
38,2.2105244826833437e-25,4.771965173036623e-25,9.485834550696164e-29,4.5515326781386895e-26,1.6552377854408737e-24,2.278054442076691e-28,1.3630870844335439e-27,5.518345086747562e-26,1.3630870844335439e-27,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
39,2.3653457566925937e-24,3.7592980841689466e-24,1.004117463111845e-28,1.2112181974672332e-25,5.183050939419362e-24,3.2346361163897124e-28,1.3594976949119922e-27,5.489345690661162e-26,4.259022770778577e-28,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
40,4.4994058913963935e-21,9.092522106031764e-21,1.0810722477990914e-24,9.545661191309819e-23,2.087218184444064e-21,3.957451329923174e-24,6.963345335920688e-24,1.8768052947981888e-22,3.735780086763314e-24,3.487117567059882e-24,1.2551169804524686e-22,3.487117567059882e-24
41,5.915317502982757e-48,1.6626618248127276e-47,1.162218494043557e-60,1.1344768655721821e-53,1.641607548410045e-50,1.176710145578176e-59,2.8859011167365824e-57,2.9728078759449346e-54,2.0201341561781015e-58,1.4524184846682518e-57,2.0079307492257164e-54,1.4524184846682518e-57
42,7.941016336293693e-14,1.0393930261770515e-13,9.328964224963088e-13,1.8673825443812742e-12,1.1203200348348988e-11,1.8673825443812742e-12,9.337825331887988e-13,7.47026026551039e-12,9.337825331887988e-13,9.337825331887988e-13,7.47026026551039e-12,9.337825331887988e-13
43,3.616579553715915e-173,2.3807068149908613e-172,2.5138651324909133e-232,1.1221074407026755e-198,7.393021316677922e-187,2.7608536366936667e-227,6.589969304878104e-213,8.659527396820772e-202,4.611918679114784e-220,7.112938669218502e-216,5.62988810509926e-205,7.126929902618215e-217
44,1.1823836005796997e-74,1.5136750512696013e-74,1.1092559489143515e-88,3.2322938221668106e-81,4.942003590188501e-77,6.358770589089942e-87,3.1574445104193998e-83,5.573470894509077e-79,5.430978914334477e-84,1.5833539754390097e-83,3.737461216168224e-79,1.5833539754390097e-83
45,1.1448624857290511e-67,1.4278383182615059e-67,9.371681373678957e-77,8.727467342287909e-72,2.6933609673972376e-68,3.9005752897019713e-75,4.239500886754002e-72,2.2240438700399116e-68,3.179936418160212e-72,2.1201648213348504e-72,1.483275600942136e-68,2.1201648213348504e-72
46,2.1369278283083586e-239,2.6339949686047013e-238,2.1382526531412007e-308,8.666339041076506e-260,3.7844546651845607e-243,1.6067520173018532e-300,4.487934920758251e-279,1.000301161814226e-263,2.6470754874291636e-291,1.8056068346632423e-285,5.755710150059029e-271,5.798362722431767e-289
47,1.1160020864534517e-148,9.242973419368821e-148,1.5297877371764232e-192,8.085922114008363e-166,1.3938399478646718e-155,1.688061418797931e-187,4.6611283303585666e-178,7.418712891796625e-169,2.688748028428597e-183,5.84735783473891e-180,5.209587191515055e-171,6.172863347758251e-181
48,1.226794540335146e-100,4.670253490646409e-100,1.4026889710830314e-132,1.6296941656523e-115,7.227229453084503e-109,9.293927198547726e-130,2.462868519167672e-123,5.156188337336339e-117,6.320204543252223e-126,2.5184302443992564e-124,5.133971850923299e-118,1.0498587718559278e-124
49,1.1662920318391175e-28,2.581013479371574e-28,9.19665154400987e-33,5.772803585750736e-29,4.0407729606572076e-27,7.460691437830603e-32,1.1940566492293118e-30,9.092805387849218e-29,3.697349081636867e-31,1.3313998588770917e-31,1.077276048920141e-29,8.326128185186736e-32
50,5.016124587153085e-78,1.9190978092463906e-77,1.6456439929799464e-104,1.2965605038890679e-91,2.2117155049461252e-86,8.505145492730692e-103,1.9958503308665614e-97,2.3327055549413474e-92,3.731257883745663e-99,2.3101686457326525e-98,2.758198717174296e-93,1.0400839325905163e-98
51,6.019194536835725e-225,3.496848835473243e-224,1.0527127799090043e-280,4.709543039314089e-248,7.311996688092883e-234,4.069182469300012e-274,4.384550398782941e-261,2.3987527377526866e-248,2.2640660196415468e-266,1.482218734057197e-261,9.868568570511317e-249,1.482218734057197e-261
52,1.2370090286455986e-61,2.9735100518134864e-61,1.0332548681648496e-72,6.576425767825116e-65,2.2379312910919324e-61,2.333092104027718e-71,3.1349606261029393e-68,1.1754412002876282e-64,8.673061441296145e-69,1.0845703247132923e-68,5.058464417642192e-65,8.135072419461822e-69
53,9.176612033974146e-26,2.039872310729999e-25,9.180214395582037e-29,2.5306025196979477e-27,7.166124731948016e-26,1.8697049839042177e-28,1.3630870844335439e-27,5.518345086747562e-26,1.3630870844335439e-27,6.81610157752127e-28,3.679615891094895e-26,6.81610157752127e-28
54,9.717135427901092e-244,3.710913722379933e-242,0.0,1.9772762389455512e-284,1.2927855132614284e-266,0.0,1.91996553367998e-308,5.888107841909513e-292,3.24e-321,1.9076922e-315,1.1976815004579135e-299,1.577586e-318
55,1.276572127760289e-110,6.995872493954912e-110,1.956707944501274e-144,3.7721916379481705e-124,1.5349047020079938e-116,1.4725906184517782e-140,1.5311849708740842e-133,1.5432346508364664e-126,4.007907174898141e-137,1.8791285207229744e-135,1.2913532668065397e-128,4.312230463580475e-136
56,5.996e-320,3.676387e-318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,1.9346715279443976e-28,3.313505085249186e-28,1.14360335455386e-32,5.818858800303568e-31,2.2455715594198416e-29,3.8190712534690027e-32,2.664100624320422e-31,1.617492453370072e-29,1.9982707453580098e-31,1.3323107070995444e-31,1.0787498947800922e-29,1.3323107070995444e-31
58,2.1149877514763277e-218,1.4560323489964828e-216,2.8759858287608265e-304,3.3902414405390493e-245,4.5461552602334526e-228,1.1501698056100185e-295,3.760219158948085e-272,1.0491077391519943e-256,5.368598662142786e-287,5.730184426688715e-281,1.306213306887796e-266,7.446042238652662e-286
59,4.0128941163698734e-169,9.615478948786274e-168,2.1268795327741716e-228,2.7526509634458346e-199,1.2530108665144604e-187,6.381153645764592e-225,3.612941797060484e-210,2.9912782911756322e-199,1.0318996179950997e-216,3.280843961354149e-212,1.9209659506835977e-201,8.602654745380171e-214
60,3.3246147880515595e-55,7.61999282609484e-55,1.8937981668967448e-72,2.6083531359164457e-64,8.433729329307979e-61,2.1464413431280677e-71,3.134346146391565e-68,1.1749791786026784e-64,1.4044723155990008e-69,1.0845703247132917e-68,5.058464417642192e-65,8.13507241946182e-69
61,5.351524557886651e-222,1.5087967757813668e-221,8.776590509093492e-265,4.6513933229132476e-238,1.7090473959907055e-225,3.3983937040146416e-259,2.984814389981699e-246,3.207083572588038e-234,5.329613794259444e-249,1.0152944184491744e-246,1.3356607622051278e-234,7.615452343620801e-247
62,2.281441322840351e-266,4.37481397961107e-265,0.0,7.523644953876798e-302,3.0315450413908283e-285,0.0,6.03997505e-316,2.0363995143122722e-300,2.4e-322,3.4407823e-317,1.001000692550149e-301,1.032941e-317
63,9.964039091702333e-34,1.3258764162467482e-33,1.0282808154490786e-36,2.4655698559619434e-34,1.670041620022796e-32,1.1968808020807284e-35,5.205863606507777e-35,4.739210778159773e-33,3.1247392421548245e-35,2.604203884088242e-35,3.162561989973885e-33,2.604203884088242e-35
64,1.6108849821595715e-211,3.999492780478204e-210,1.7299165010766146e-276,8.508514522863543e-235,4.408955586514912e-220,5.027506823807412e-270,2.231473472082581e-252,5.121658342912583e-239,6.819312947659105e-262,1.8815655702733272e-257,9.94810287538872e-245,2.7440470904888266e-259
65,1.0096592224113868e-23,2.781874638960132e-23,1.1243978593317922e-32,1.2578730283603484e-28,9.693861370579677e-27,1.669586771289202e-32,5.30640275830639e-31,3.743372924081202e-29,5.167808785127183e-32,1.332050337604313e-31,1.0783283846131371e-29,8.882071380663631e-32
